Symbol	Description	Chromosome	Aliases
EFTUD2	elongation factor Tu GTP binding domain containing 2	17	MFDGA, MFDM, SNRNP116, Snrp116, Snu114, U5-116KD
EGF	epidermal growth factor	4	HOMG4, URG
EGFL6	EGF like domain multiple 6	X	MAEG, W80
EGFL7	EGF like domain multiple 7	9	NEU1, VE-STATIN, ZNEU1
EGFL8	EGF like domain multiple 8	6	C6orf8, NG3
EGFLAM-AS1	EGFLAM antisense RNA 1	5	
EGFR	epidermal growth factor receptor	7	ERBB, ERBB1, HER1, NISBD2, PIG61, mENA
EGLN1	egl-9 family hypoxia inducible factor 1	1	C1orf12, ECYT3, HALAH, HIF-PH2, HIFPH2, HPH-2, HPH2, PHD2, SM20, ZMYND6
EGLN2	egl-9 family hypoxia inducible factor 2	19	EIT6, HIF-PH1, HIFPH1, HPH-1, HPH-3, PHD1
EGLN3	egl-9 family hypoxia inducible factor 3	14	HIFP4H3, HIFPH3, PHD3
EGOT	eosinophil granule ontogeny transcript (non-protein coding)	3	EGO, NCRNA00190
EGR1	early growth response 1	5	AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225
EGR2	early growth response 2	10	AT591, CMT1D, CMT4E, KROX20
EGR3	early growth response 3	8	EGR-3, PILOT
EHBP1	EH domain binding protein 1	2	HPC12, NACSIN
EHD1	EH domain containing 1	11	H-PAST, HPAST1, PAST, PAST1
EHD2	EH domain containing 2	19	PAST2
EHF	ETS homologous factor	11	ESE3, ESE3B, ESEJ
EHMT1	euchromatic histone lysine methyltransferase 1	9	EHMT1-IT1, EUHMTASE1, Eu-HMTase1, FP13812, GLP, GLP1, KLEFS1, KMT1D
EHMT1	euchromatic histone lysine methyltransferase 1	9	EHMT1-IT1, EUHMTASE1, Eu-HMTase1, FP13812, GLP, GLP1, KLEFS1, KMT1D
EHMT2	euchromatic histone lysine methyltransferase 2	6	BAT8, C6orf30, G9A, GAT8, KMT1C, NG36
EI24	EI24, autophagy associated transmembrane protein	11	EPG4, PIG8, TP53I8
EID1	EP300 interacting inhibitor of differentiation 1	15	C15orf3, CRI1, EID-1, IRO45620, PNAS-22, PTD014, RBP21
EIF1AX	eukaryotic translation initiation factor 1A, X-linked	X	EIF1A, EIF1AP1, EIF4C, eIF-1A, eIF-4C
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	2	EIF2AK1, PKR, PPP1R83, PRKR
EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	2	PEK, PERK, WRS
EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	15	GCN2, PVOD2
EIF2B4	eukaryotic translation initiation factor 2B subunit delta	2	EIF-2B, EIF2B, EIF2Bdelta
EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	14	EIF-2, EIF-2A, EIF-2alpha, EIF2, EIF2A
EIF2S2	eukaryotic translation initiation factor 2 subunit beta	20	EIF2, EIF2B, EIF2beta, PPP1R67, eIF-2-beta
EIF3A	eukaryotic translation initiation factor 3 subunit A	10	EIF3, EIF3S10, P167, TIF32, eIF3-p170, eIF3-theta, p180, p185
EIF3B	eukaryotic translation initiation factor 3 subunit B	7	EIF3-ETA, EIF3-P110, EIF3-P116, EIF3S9, PRT1
EIF3C	eukaryotic translation initiation factor 3 subunit C	16	EIF3CL, EIF3S8, eIF3-p110
EIF3D	eukaryotic translation initiation factor 3 subunit D	22	EIF3S7, eIF3-p66, eIF3-zeta
EIF3E	eukaryotic translation initiation factor 3 subunit E	8	EIF3-P48, EIF3S6, INT6, eIF3-p46
EIF3F	eukaryotic translation initiation factor 3 subunit F	11	EIF3S5, eIF3-p47
EIF3H	eukaryotic translation initiation factor 3 subunit H	8	EIF3S3, eIF3-gamma, eIF3-p40
EIF3J	eukaryotic translation initiation factor 3 subunit J	15	EIF3S1, eIF3-alpha, eIF3-p35
EIF3M	eukaryotic translation initiation factor 3 subunit M	11	B5, GA17, PCID1, TANGO7, hfl-B5
EIF4A1	eukaryotic translation initiation factor 4A1	17	DDX2A, EIF-4A, EIF4A, eIF-4A-I, eIF4A-I
EIF4A2	eukaryotic translation initiation factor 4A2	3	BM-010, DDX2B, EIF4A, EIF4F, eIF-4A-II, eIF4A-II
EIF4A3	eukaryotic translation initiation factor 4A3	17	DDX48, Fal1, MUK34, NMP265, NUK34, RCPS, eIF4AIII
EIF4B	eukaryotic translation initiation factor 4B	12	EIF-4B, PRO1843
EIF4E	eukaryotic translation initiation factor 4E	4	AUTS19, CBP1, EIF4EL1, EIF4F, eIF-4E, EIF4E
EIF4E2	eukaryotic translation initiation factor 4E family member 2	2	4E-LP, 4EHP, EIF4EL3, IF4e, h4EHP
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	8	4E-BP1, 4EBP1, BP-1, PHAS-I
EIF4G1	eukaryotic translation initiation factor 4 gamma 1	3	EIF-4G1, EIF4F, EIF4G, EIF4GI, P220, PARK18
EIF4G2	eukaryotic translation initiation factor 4 gamma 2	11	AAG1, DAP5, NAT1, P97
EIF4H	eukaryotic translation initiation factor 4H	7	WBSCR1, WSCR1, eIF-4H
EIF5A	eukaryotic translation initiation factor 5A	17	EIF-5A1, eIF5AI, EIF5A
EIF5A2	eukaryotic translation initiation factor 5A2	3	EIF-5A2, eIF5AII
EIF6	eukaryotic translation initiation factor 6	20	CAB, EIF3A, ITGB4BP, b(2)gcn, eIF-6, p27(BBP), p27BBP
EIPR1	EARP complex and GARP complex interacting protein 1	2	EIPR-1, TSSC1
ELAC2	elaC ribonuclease Z 2	17	COXPD17, ELC2, HPC2
ELANE	elastase, neutrophil expressed	19	ELA2, GE, HLE, HNE, NE, PMN-E, SCN1
ELAVL1	ELAV like RNA binding protein 1	19	ELAV1, HUR, Hua, MelG
ELAVL2	ELAV like RNA binding protein 2	9	HEL-N1, HELN1, HUB
ELAVL4	ELAV like RNA binding protein 4	1	HUD, PNEM
ELF1	E74 like ETS transcription factor 1	13	EFTUD1, RIA1
ELF3	E74 like ETS transcription factor 3	1	EPR-1, ERT, ESE-1, ESX
ELF5	E74 like ETS transcription factor 5	11	ESE2
ELK1	ELK1, ETS transcription factor	X	
ELK3	ELK3, ETS transcription factor	12	ERP, NET, SAP-2, SAP2
ELK4	ELK4, ETS transcription factor	1	SAP1
ELL	elongation factor for RNA polymerase II	19	C19orf171, MEN, PPP1R68, ELL
ELL2	elongation factor for RNA polymerase II 2	5	MRCCAT1
ELL3	elongation factor for RNA polymerase II 3	15	
ELMO1	engulfment and cell motility 1	7	CED-12, CED12, ELMO-1
ELMO3	engulfment and cell motility 3	16	CED-12, CED12, ELMO-3
ELN	elastin	7	ADCL1, SVAS, WBS, WS
ELOB	elongin B	16	SIII, TCEB2
ELOC	elongin C	8	SIII, TCEB1
ELOVL2	ELOVL fatty acid elongase 2	6	SSC2
ELOVL4	ELOVL fatty acid elongase 4	6	ADMD, CT118, ISQMR, SCA34, STGD2, STGD3
ELOVL5	ELOVL fatty acid elongase 5	6	HELO1, SCA38, dJ483K16.1
ELOVL6	ELOVL fatty acid elongase 6	4	FACE, FAE, LCE
ELOVL7	ELOVL fatty acid elongase 7	5	
EMBP1	embigin pseudogene 1	1	
EMCN	endomucin	4	EMCN2, MUC14
EMD	emerin	X	EDMD, LEMD5, STA
EMID1	EMI domain containing 1	22	EMI5, EMU1
EMILIN2	elastin microfibril interfacer 2	18	EMILIN-2, FOAP-10
EMILIN3	elastin microfibril interfacer 3	20	C20orf130, EMILIN5, dJ620E11.4
EML4	echinoderm microtubule associated protein like 4	2	C2orf2, ELP120, EMAP-4, EMAPL4, ROPP120
EMP1	epithelial membrane protein 1	12	CL-20, EMP-1, TMP
EMP2	epithelial membrane protein 2	16	XMP
EMP3	epithelial membrane protein 3	19	YMP
EMSY	EMSY, BRCA2 interacting transcriptional repressor	11	C11orf30, GL002
EMX2	empty spiracles homeobox 2	10	
EN1	engrailed homeobox 1	2	
EN2	engrailed homeobox 2	7	
ENAH	ENAH, actin regulator	1	ENA, MENA, NDPP1
ENC1	ectodermal-neural cortex 1	5	CCL28, ENC-1, KLHL35, KLHL37, NRPB, PIG10, TP53I10
ENDOG	endonuclease G	9	
ENG	endoglin	9	END, HHT1, ORW1
ENHO	energy homeostasis associated	9	C9orf165, UNQ470
ENO1	enolase 1	1	ENO1L1, HEL-S-17, MPB1, NNE, PPH
ENO2	enolase 2	12	HEL-S-279, NSE
ENOX2	ecto-NOX disulfide-thiol exchanger 2	X	APK1, COVA1, tNOX
ENPEP	glutamyl aminopeptidase	4	APA, CD249, gp160
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	6	ARHR2, COLED, M6S1, NPP1, NPPS, PC-1, PCA1, PDNP1
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	8	ATX, ATX-X, AUTOTAXIN, LysoPLD, NPP2, PD-IALPHA, PDNP2
ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	6	B10, CD203c, NPP3, PD-IBETA, PDNP3
ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7	17	ALK-SMase, E-NPP 7, NPP-7, NPP7
ENSA	endosulfine alpha	1	ARPP-19e
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	10	ATPDase, CD39, NTPDase-1, SPG64
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	14	CD39L4, NTPDase-5, PCPH
ENY2	ENY2, transcription and export complex 2 subunit	8	DC6, Sus1, e(y)2
EOMES	eomesodermin	3	TBR2
EP300	E1A binding protein p300	22	KAT3B, RSTS2, p300
EP400	E1A binding protein p400	12	CAGH32, P400, TNRC12
EPAS1	endothelial PAS domain protein 1	2	ECYT4, HIF2A, HLF, MOP2, PASD2, bHLHe73
EPB41	erythrocyte membrane protein band 4.1	1	4.1R, EL1, HE
EPB41L1	erythrocyte membrane protein band 4.1 like 1	20	4.1N, MRD11
EPB41L2	erythrocyte membrane protein band 4.1 like 2	6	4.1-G, 4.1G
EPB41L3	erythrocyte membrane protein band 4.1 like 3	18	4.1B, DAL-1, DAL1
EPB41L5	erythrocyte membrane protein band 4.1 like 5	2	BE37, YMO1, YRT
EPC1	enhancer of polycomb homolog 1	10	Epl1
EPCAM	epithelial cell adhesion molecule	2	DIAR5, EGP-2, EGP314, EGP40, ESA, HNPCC8, KS1/4, KSA, M4S1, MIC18, MK-1, TACSTD1, TROP1
EPDR1	ependymin related 1	7	EPDR, MERP-1, MERP1, UCC1
EPGN	epithelial mitogen	4	ALGV3072, EPG, PRO9904
EPHA1	EPH receptor A1	7	EPH, EPHT, EPHT1
EPHA10	EPH receptor A10	1	
EPHA2	EPH receptor A2	1	ARCC2, CTPA, CTPP1, CTRCT6, ECK
EPHA3	EPH receptor A3	3	EK4, ETK, ETK1, HEK, HEK4, TYRO4
EPHA4	EPH receptor A4	2	HEK8, SEK, TYRO1
EPHA5	EPH receptor A5	4	CEK7, EHK-1, EHK1, EK7, HEK7, TYRO4
EPHA7	EPH receptor A7	6	EHK-3, EHK3, EK11, HEK11
EPHB1	EPH receptor B1	3	ELK, EPHT2, Hek6, NET
EPHB2	EPH receptor B2	1	CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5
EPHB3	EPH receptor B3	3	EK2, ETK2, HEK2, TYRO6
EPHB4	EPH receptor B4	7	HFASD, HTK, MYK1, TYRO11
EPHB6	EPH receptor B6	7	HEP
EPHX1	epoxide hydrolase 1	1	EPHX, EPOX, HYL1, MEH
EPHX2	epoxide hydrolase 2	8	CEH, SEH
EPHX3	epoxide hydrolase 3	19	ABHD9, EH3
EPN1	epsin 1	19	
EPN2	epsin 2	17	EHB21
EPO	erythropoietin	7	EP, MVCD2
EPOR	erythropoietin receptor	19	EPO-R
EPPIN	epididymal peptidase inhibitor	20	CT71, CT72, SPINLW1, WAP7, WFDC7, dJ461P17.2
EPS15	epidermal growth factor receptor pathway substrate 15	1	AF-1P, AF1P, MLLT5
EPS8	epidermal growth factor receptor pathway substrate 8	12	DFNB102
EPSTI1	epithelial stromal interaction 1	13	BRESI1
EPX	eosinophil peroxidase	17	EPO, EPP-PEN, EPXD, EPX
ERAP2	endoplasmic reticulum aminopeptidase 2	5	L-RAP, LRAP
ERAS	ES cell expressed Ras	X	HRAS2, HRASP
ERBB2	erb-b2 receptor tyrosine kinase 2	17	CD340, HER-2, HER-2/neu, HER2, MLN 19, NEU, NGL, TKR1
ERBB3	erb-b2 receptor tyrosine kinase 3	12	ErbB-3, HER3, LCCS2, MDA-BF-1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3
ERBB4	erb-b2 receptor tyrosine kinase 4	2	ALS19, HER4, p180erbB4
ERBIN	erbb2 interacting protein	5	ERBB2IP, HEL-S-78, LAP2
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	19	COFS4, RAD10, UV20
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	19	COFS2, EM9, TFIIH, TTD, TTD1, XPD
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	2	BTF2, GTF2H, RAD25, TFIIH, TTD2, XPB
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	16	ERCC11, FANCQ, RAD1, XFEPS, XPF
ERCC5	ERCC excision repair 5, endonuclease	13	COFS3-201, ERCM2, UVDR, XPG, XPGC, ERCC5
ERCC6	ERCC excision repair 6, chromatin remodeling factor	10	ARMD5, CKN2, COFS, COFS1, CSB, CSB-PGBD3, POF11, RAD26, UVSS1
ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit	5	CKN1, CSA, UVSS2
EREG	epiregulin	4	EPR, ER, Ep
ERG	ERG, ETS transcription factor	21	erg-3, p55
ERG28	ergosterol biosynthesis 28 homolog	14	C14orf1, NET51
ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	5	ERGIC-32, ERGIC32, NET24
ERGIC2	ERGIC and golgi 2	12	CDA14, Erv41, PTX1, cd002
ERGIC3	ERGIC and golgi 3	20	C20orf47, C2orf47, CGI-54, Erv46, NY-BR-84, PRO0989, SDBCAG84, dJ477O4.2
ERH	ERH, mRNA splicing and mitosis factor	14	DROER
ERLEC1	endoplasmic reticulum lectin 1	2	C2orf30, CIM, CL24936, CL25084, HEL117, XTP3-B, XTP3TPB
ERLIN2	ER lipid raft associated 2	8	C8orf2, Erlin-2, NET32, SPFH2, SPG18
ERN1	endoplasmic reticulum to nucleus signaling 1	17	IRE1, IRE1P, IRE1a, hIRE1p
ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	14	ERO1-L, ERO1-L-alpha, ERO1-alpha, ERO1L, ERO1LA, Ero1alpha
ERO1B	endoplasmic reticulum oxidoreductase 1 beta	1	ERO1LB, Ero1beta
ERP29	endoplasmic reticulum protein 29	12	C12orf8, ERp28, ERp31, HEL-S-107, PDI-DB, PDIA9
ERRFI1	ERBB receptor feedback inhibitor 1	1	GENE-33, MIG-6, MIG6, RALT
ERVK-6	endogenous retrovirus group K member 6, envelope	7	ERVK6, HERV-K(C7), HERV-K108, K-Rev, c-orf, cORF, envK2
ERVW-1	endogenous retrovirus group W member 1, envelope	7	ENV, ENVW, ERVWE1, HERV-7q, HERV-W-ENV, HERV7Q, HERVW, HERVWENV
ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1	18	A930014I12Rik, CTF, ECO1, EFO1, ESO1
ESM1	endothelial cell specific molecule 1	5	endocan
ESPL1	extra spindle pole bodies like 1, separase	12	ESP1, SEPA
ESR1	estrogen receptor 1	6	ER, ESR, ESRA, ESTRR, Era, NR3A1
ESR2	estrogen receptor 2	14	ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2
ESRP1	epithelial splicing regulatory protein 1	8	RBM35A, RMB35A
ESRP2	epithelial splicing regulatory protein 2	16	RBM35B
ESRRA	estrogen related receptor alpha	11	ERR1, ERRa, ERRalpha, ESRL1, NR3B1
ESRRB	estrogen related receptor beta	14	DFNB35, ERR2, ERRb, ESRL2, NR3B2
ESRRG	estrogen related receptor gamma	1	ERR3, ERRgamma, NR3B3
ESYT1	extended synaptotagmin 1	12	FAM62A, MBC2
ETS1	ETS proto-oncogene 1, transcription factor	11	ETS-1, EWSR2, c-ets-1, p54
ETS2	ETS proto-oncogene 2, transcription factor	21	ETS2IT1
ETV1	ETS variant 1	7	ER81
ETV3	ETS variant 3	1	METS, PE-1, PE1
ETV4	ETS variant 4	17	E1A-F, E1AF, PEA3, PEAS3
ETV5	ETS variant 5	3	ERM
ETV6	ETS variant 6	12	TEL, TEL/ABL, THC5
EVA1A	eva-1 homolog A, regulator of programmed cell death	2	FAM176A, TMEM166
EVC	EvC ciliary complex subunit 1	4	DWF-11, EVCL, EVC
EVL	Enah/Vasp-like	14	RNB6
EVPL	envoplakin	17	EVPK
EWSR1	EWS RNA binding protein 1	22	EWS, EWS-FLI1, bK984G1.4
EXO1	exonuclease 1	1	HEX1, hExoI
EXOC1	exocyst complex component 1	4	BM-102, SEC3, SEC3L1, SEC3P
EXOC2	exocyst complex component 2	6	SEC5, SEC5L1, Sec5p
EXOC8	exocyst complex component 8	1	EXO84, Exo84p, SEC84
EXT1	exostosin glycosyltransferase 1	8	EXT, LGCR, LGS, TRPS2, TTV
EXTL3	exostosin like glycosyltransferase 3	8	BOTV, EXTL1L, EXTR1, ISDNA, REGR, RPR
EYA1	EYA transcriptional coactivator and phosphatase 1	8	BOP, BOR, BOS1, OFC1
EYA2	EYA transcriptional coactivator and phosphatase 2	20	EAB1
EYA4	EYA transcriptional coactivator and phosphatase 4	6	CMD1J, DFNA10
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	7	ENX-1, ENX1b, KMT6, KMT6A, WVS, WVS2, EZH2
EZR	ezrin	6	CVIL, CVL, HEL-S-105, VIL2
F10	coagulation factor X	13	FX, FXA
F11R	F11 receptor	1	CD321, JAM, JAM1, JAMA, JCAM, KAT, PAM-1
F12	coagulation factor XII	5	HAE3, HAEX, HAF
F13A1	coagulation factor XIII A chain	6	F13A
F2	coagulation factor II, thrombin	11	PT, RPRGL2, THPH1
F2R	coagulation factor II thrombin receptor	5	CF2R, HTR, PAR-1, PAR1, TR
F2RL1	F2R like trypsin receptor 1	5	GPR11, PAR2
F2RL2	coagulation factor II thrombin receptor like 2	5	PAR-3, PAR3
F2RL3	F2R like thrombin or trypsin receptor 3	19	PAR4
F3	coagulation factor III, tissue factor	1	CD142, TF, TFA
F5	coagulation factor V	1	FVL, PCCF, RPRGL1, THPH2
F7	coagulation factor VII	13	SPCA
F8	coagulation factor VIII	X	AHF, DXS1253EB, F8C, FVIII, HEMA, F8
FA2H	fatty acid 2-hydroxylase	16	FAAH, FAH1, FAXDC1, SCS7, SPG35
FAAH	fatty acid amide hydrolase	1	FAAH-1, PSAB
FABP1	fatty acid binding protein 1	2	FABPL, L-FABP
FABP12	fatty acid binding protein 12	8	
FABP2	fatty acid binding protein 2	4	FABPI, I-FABP
FABP3	fatty acid binding protein 3	1	FABP11, H-FABP, M-FABP, MDGI, O-FABP
FABP4	fatty acid binding protein 4	8	A-FABP, AFABP, ALBP, HEL-S-104, aP2
FABP5	fatty acid binding protein 5	8	E-FABP, EFABP, KFABP, PA-FABP, PAFABP
FABP7	fatty acid binding protein 7	6	B-FABP, BLBP, FABPB, MRG
FADD	Fas associated via death domain	11	GIG3, MORT1
FADS1	fatty acid desaturase 1	11	D5D, FADS6, FADSD5, LLCDL1, TU12
FADS2	fatty acid desaturase 2	11	D6D, DES6, FADSD6, LLCDL2, SLL0262, TU13
FAF1	Fas associated factor 1	1	CGI-03, HFAF1s, UBXD12, UBXN3A, hFAF1
FAIM2	Fas apoptotic inhibitory molecule 2	12	LFG, LFG2, NGP35, NMP35, TMBIM2
FALEC	focally amplified long non-coding RNA in epithelial cancer	1	FAL1, LINC00568, ncRNA-a1
FAM107A	family with sequence similarity 107 member A	3	DRR1, TU3A
FAM110B	family with sequence similarity 110 member B	8	C8orf72
FAM111B	family with sequence similarity 111 member B	11	CANP, POIKTMP
FAM120A	family with sequence similarity 120A	9	C9orf10, HBVPTPAP, OSSA
FAM129A	family with sequence similarity 129 member A	1	C1orf24, GIG39, NIBAN
FAM129B	family with sequence similarity 129 member B	9	C9orf88, MEG-3, MINERVA, OC58, bA356B19.6
FAM133A	family with sequence similarity 133 member A	X	CT115
FAM13A	family with sequence similarity 13 member A	4	ARHGAP481, FAM13A
FAM162A	family with sequence similarity 162 member A	3	C3orf28, E2IG5, HGTD-P
FAM162B	family with sequence similarity 162 member B	6	C6orf189, bA86F4.2
FAM168A	family with sequence similarity 168 member A	11	KIAA0280, TCRP1
FAM168B	family with sequence similarity 168 member B	2	MANI
FAM172A	family with sequence similarity 172 member A	5	C5orf21
FAM173B	family with sequence similarity 173 member B	5	JS-2
FAM19A4	family with sequence similarity 19 member A4, C-C motif chemokine like	3	TAFA-4, TAFA4
FAM19A5	family with sequence similarity 19 member A5, C-C motif chemokine like	22	QLLK5208, TAFA-5, TAFA5, UNQ5208
FAM3B	family with sequence similarity 3 member B	21	2-21, C21orf11, C21orf76, ORF9, PANDER, PRED44
FAM3C	family with sequence similarity 3 member C	7	GS3786, ILEI
FAM46A	family with sequence similarity 46 member A	6	C6orf37, XTP11
FAM46D	family with sequence similarity 46 member D	X	CT1.26, CT112
FAM57A	family with sequence similarity 57 member A	17	CT120
FAM72A	family with sequence similarity 72 member A	1	LMPIP, Ugene
FAM72D	family with sequence similarity 72 member D	1	GCUD2
FAM83A	family with sequence similarity 83 member A	8	BJ-TSA-9
FAM83B	family with sequence similarity 83 member B	6	C6orf143
FAM83C	family with sequence similarity 83 member C	20	C20orf128, dJ614O4.7
FAM83D	family with sequence similarity 83 member D	20	C20orf129, CHICA, dJ616B8.3
FAM83E	family with sequence similarity 83 member E	19	
FAM83H	family with sequence similarity 83 member H	8	AI3, AI3A
FAM83H-AS1	FAM83H antisense RNA 1 (head to head)	8	onco-lncRNA-3
FAM84A	family with sequence similarity 84 member A	2	NSE1, PP11517
FAM84A	family with sequence similarity 84 member A	2	NSE1, PP11517
FAM84B	family with sequence similarity 84 member B	8	BCMP101, NSE2
FAM91A1	family with sequence similarity 91 member A1	8	
FAM92A	family with sequence similarity 92 member A	8	FAM92A1
FAM98A	family with sequence similarity 98 member A	2	
FAM98B	family with sequence similarity 98 member B	15	
FAN1	FANCD2 and FANCI associated nuclease 1	15	KIAA1018, KMIN, MTMR15, hFAN1
FANCA	Fanconi anemia complementation group A	16	FA, FA-H, FA1, FAA, FACA, FAH, FANCH
FANCB	Fanconi anemia complementation group B	X	FA2, FAAP90, FAAP95, FAB, FACB
FANCC	Fanconi anemia complementation group C	9	FA3, FAC, FACC
FANCD2	Fanconi anemia complementation group D2	3	FA-D2, FA4, FACD, FAD, FAD2, FANCD
FANCF	Fanconi anemia complementation group F	11	FAF
FANCI	Fanconi anemia complementation group I	15	KIAA1794
FANCL	Fanconi anemia complementation group L	2	FAAP43, PHF9, POG
FANCM	Fanconi anemia complementation group M	14	FAAP250, KIAA1596
FAP	fibroblast activation protein alpha	2	DPPIVA, FAPalpha, SIMP, FAP
FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	2	FIR, FRG, PLEKHC3
FAS	Fas cell surface death receptor	10	ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS
FASLG	Fas ligand	1	ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A
FASN	fatty acid synthase	17	FAS, OA-519, SDR27X1
FASTKD2	FAST kinase domains 2	2	KIAA0971
FAT1	FAT atypical cadherin 1	4	CDHF7, CDHR8, FAT, ME5, hFat1
FAT4	FAT atypical cadherin 4	4	CDHF14, CDHR11, FAT-J, FATJ, HKLLS2, NBLA00548, VMLDS2
FATE1	fetal and adult testis expressed 1	X	CT43, FATE
FAU	FAU, ubiquitin like and ribosomal protein S30 fusion	11	FAU1, Fub1, Fubi, MNSFbeta, RPS30, S30, asr1
FBL	fibrillarin	19	FIB, FLRN, Nop1, RNU3IP1
FBLIM1	filamin binding LIM protein 1	1	CAL, FBLP-1, FBLP1
FBLN1	fibulin 1	22	FBLN, FIBL1
FBLN2	fibulin 2	3	
FBLN5	fibulin 5	14	ADCL2, ARCL1A, ARMD3, DANCE, EVEC, FIBL-5, HNARMD, UP50
FBN1	fibrillin 1	15	ACMICD, ECTOL1, FBN, GPHYSD2, MASS, MFLS, MFS1, OCTD, SGS, SSKS, WMS, WMS2
FBP1	fructose-bisphosphatase 1	9	FBP
FBP2	fructose-bisphosphatase 2	9	
FBXL15	F-box and leucine rich repeat protein 15	10	FBXO37, Fbl15, JET, PSD
FBXL17	F-box and leucine rich repeat protein 17	5	FBXO13, Fbl17, Fbx13
FBXL19-AS1	FBXL19 antisense RNA 1 (head to head)	16	NCRNA00095
FBXL2	F-box and leucine rich repeat protein 2	3	FBL2, FBL3
FBXL3	F-box and leucine rich repeat protein 3	13	FBL3, FBL3AA, FBXL3
FBXO10	F-box protein 10	9	FBX10, PRMT11
FBXO11	F-box protein 11	2	FBX11, PRMT9, UBR6, UG063H01, VIT1
FBXO18	F-box protein, helicase, 18	10	FBH1, Fbx18, hFBH1
FBXO25	F-box protein 25	8	FBX25
FBXO31	F-box protein 31	16	FBX14, FBXO14, Fbx31, MRT45, pp2386
FBXO32	F-box protein 32	8	Fbx32, MAFbx
FBXO39	F-box protein 39	17	CT144, Fbx39
FBXO4	F-box protein 4	5	FBX4
FBXO42	F-box protein 42	1	Fbx42, JFK
FBXO45	F-box protein 45	3	Fbx45
FBXO5	F-box protein 5	6	EMI1, FBX5, Fbxo31
FBXO7	F-box protein 7	22	FBX, FBX07, FBX7, PARK15, PKPS
FBXO8	F-box protein 8	4	DC10, FBS, FBX8
FBXW12	F-box and WD repeat domain containing 12	3	FBW12, FBXO12, FBXO35
FBXW7	F-box and WD repeat domain containing 7	4	AGO, CDC4, FBW6, FBW7, FBX30, FBXO30, FBXW6, SEL-10, SEL10, hAgo, hCdc4
FBXW7-AS1	FBXW7 antisense RNA 1	4	DEAR, DEspR
FBXW8	F-box and WD repeat domain containing 8	12	FBW6, FBW8, FBX29, FBXO29, FBXW6
FCGBP	Fc fragment of IgG binding protein	19	FC(GAMMA)BP
FCGR1A	Fc fragment of IgG receptor Ia	1	CD64, CD64A, FCRI, IGFR1
FCGR2A	Fc fragment of IgG receptor IIa	1	CD32, CD32A, CDw32, FCG2, FCGR21, FcGR, IGFR2, FCGR2A
FCGR2B	Fc fragment of IgG receptor IIb	1	CD32, CD32B, FCG2, FCGR2, IGFR2
FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)	1	CD32, CD32C, CDW32, FCG2, FCRIIC, IGFR2
FCGR3A	Fc fragment of IgG receptor IIIa	1	CD16, CD16A, FCG3, FCGR3, FCGRIII, FCR-10, FCRIII, FCRIIIA, IGFR3, IMD20
FCN1	ficolin 1	9	FCNM
FCN2	ficolin 2	9	EBP-37, FCNL, P35, ficolin-2
FCN3	ficolin 3	1	FCNH, HAKA1
FCRL1	Fc receptor like 1	1	CD307a, FCRH1, IFGP1, IRTA5
FDCSP	follicular dendritic cell secreted protein	4	C4orf7, FDC-SP
FDFT1	farnesyl-diphosphate farnesyltransferase 1	8	DGPT, ERG9, SQS, SS
FDPS	farnesyl diphosphate synthase	1	FPPS, FPS, POROK9
FEM1B	fem-1 homolog B	15	F1A-ALPHA, F1AA, FEM1-beta
FEN1	flap structure-specific endonuclease 1	11	FEN-1, MF1, RAD2
FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA	16	FOXF1-AS1, FOXF1AS1, TCONS_00024240, lincFOXF1, onco-lncRNA-21
FER	FER tyrosine kinase	5	PPP1R74, TYK3, p94-Fer
